DEPARTAMENTO,ÁREA,SEXO,Total personas de 5 y más años,,,,Uso de computador por tipo de dispositivo,,,,,,,,,,,,,,,Usó computador** en cualquier lugar,,,,,Usó Internet en cualquier lugar y desde cualquier dispositivo,,,,,Usó teléfono celular en cualquier lugar,,,,,Escuchó la señal de radio dentro del hogar,,,,,Usó telefono celular y no tiene celular,,,,,Tiene teléfono celular,,,,,Tenencia de teléfono celular por tipo de dispositivo,,,,,,,,,,,,,
,,,,,,,Usó computador de escritorio en cualquier lugar,,,,,Usó computador portátil en cualquier lugar,,,,,Usó tableta en cualquier lugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tiene teléfono celular convencional,,,,,Tiene teléfono celular inteligente (smartphone),,,,,Tiene teléfono celular convencional e inteligente (smartphone),,,
,,,TOTAL,IC+- b/,Cve c/,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción
",CABECERA,TOTAL,185 ,2,""0,5%"",,41,5,""5,7%"",""22,0"",,32,5,""7,3%"",""17,2"",,6,2,""15,8%"",""3,3"",,53,5,""5,1%"",""28,9"",,145,5,""1,8%"",""78,1"",,167,3,""0,9%"",""90,1"",,84,7,""4,0%"",""45,5"",,30 ,""2,6"",""4,5%"",""16,0"",,137,3,""1,0%"",""74,1"",,15,3,""9,0%"",""7,9"",,123,4,""1,6%"",""66,2"",,0,0,.,-"
",,HOMBRE,90 ,1,""0,7%"",,20,3,""6,6%"",""22,5"",,16,2,""7,8%"",""17,8"",,3,1,""19,2%"",""3,7"",,26,3,""5,8%"",""28,8"",,70,3,""2,2%"",""77,2"",,82,2,""1,2%"",""90,3"",,42,4,""4,5%"",""46,8"",,17 ,""2,1"",""6,3%"",""18,4"",,65,2,""1,4%"",""71,9"",,8,2,""10,1%"",""9,0"",,57,2,""2,1%"",""62,9"",,0,0,.,-"
",,MUJER,95 ,1,""0,7%"",,20,2,""6,2%"",""21,5"",,16,3,""8,8%"",""16,6"",,3,1,""17,4%"",""2,9"",,27,3,""5,6%"",""28,9"",,75,3,""1,9%"",""79,024"",,85,2,""1,1%"",""90,0"",,42,4,""4,4%"",""44,2"",,13 ,""1,8"",""7,0%"",""13,7"",,72,2,""1,3%"",""76,3"",,6,1,""10,6%"",""6,9"",,66,2,""1,9%"",""69,5"",,0,0,.,-"
",CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,97 ,1,""0,8%"",,7,1,""9,6%"",""7,1"",,1,0,""20,9%"",""1,0"",,0,0,""61,4%"",""0,1"",,8,1,""9,4%"",""7,9"",,42,4,""5,4%"",""42,9"",,82,2,""1,5%"",""84,5"",,69,4,""3,2%"",""71,7"",,16 ,""1,5"",""4,9%"",""16,7"",,66,2,""1,6%"",""67,8"",,25,2,""5,0%"",""25,6"",,41,3,""4,1%"",""42,3"",,0,0,.,-"
",,HOMBRE,51 ,1,""1,0%"",,4,1,""12,5%"",""7,1"",,0,0,""35,2%"",""0,5"",,0,0,""65,4%"",""0,2"",,4,1,""12,0%"",""7,4"",,20,2,""5,8%"",""39,0"",,43,1,""1,8%"",""83,4"",,36,2,""3,3%"",""70,6"",,8 ,""1,2"",""7,2%"",""16,2"",,35,1,""1,9%"",""67,2"",,15,2,""5,2%"",""29,7"",,19,2,""5,0%"",""37,5"",,0,0,.,-"
",,MUJER,45 ,1,""1,0%"",,3,1,""12,6%"",""7,1"",,1,0,""24,8%"",""1,6"",,0,0,""96,4%"",""0,0"",,4,1,""12,0%"",""8,4"",,21,2,""5,9%"",""47,3"",,39,1,""1,9%"",""85,7"",,33,2,""3,8%"",""73,0"",,8 ,""1,1"",""7,3%"",""17,2"",,31,1,""1,8%"",""68,5"",,9,1,""7,1%"",""20,9"",,22,2,""4,2%"",""47,6"",,0,0,.,-"
"ATLÁNTICO,TOTAL,TOTAL,2.660 ,17,""0,3%"",,489,45,""4,7%"",""18,4"",,553,83,""7,7%"",""20,8"",,113,21,""9,6%"",""4,2"",,914,85,""4,7%"",""34,4"",,2.144,49,""1,2%"",""80,6"",,2.420,34,""0,7%"",""91,0"",,734,54,""3,7%"",""27,6"",,478 ,""34,3"",""3,7%"",""18,0"",,1.942,40,""1,0%"",""73,0"",,107,16,""7,4%"",""4,0"",,1.837,47,""1,3%"",""69,1"",,2,2,""49,2%"",""0,1"""
",,HOMBRE,1.289 ,13,""0,5%"",,244,27,""5,6%"",""18,9"",,271,42,""7,9%"",""21,1"",,64,15,""11,7%"",""4,9"",,446,44,""5,1%"",""34,6"",,1.042,29,""1,4%"",""80,8"",,1.178,22,""1,0%"",""91,3"",,382,29,""3,9%"",""29,6"",,248 ,""23,0"",""4,7%"",""19,2"",,930,24,""1,3%"",""72,1"",,63,11,""9,3%"",""4,9"",,869,28,""1,6%"",""67,4"",,2,2,""57,4%"",""0,2"""
",,MUJER,1.371 ,15,""0,5%"",,246,27,""5,5%"",""17,9"",,281,44,""8,0%"",""20,5"",,49,11,""11,6%"",""3,6"",,468,46,""5,0%"",""34,2"",,1.103,30,""1,4%"",""80,4"",,1.242,23,""1,0%"",""90,6"",,352,33,""4,7%"",""25,7"",,230 ,""21,3"",""4,7%"",""16,8"",,1.012,24,""1,2%"",""73,8"",,45,11,""12,2%"",""3,3"",,968,26,""1,4%"",""70,6"",,0,1,""98,6%"",""0,0"""
",CABECERA,TOTAL,2.528 ,17,""0,4%"",,478,45,""4,8%"",""18,9"",,539,83,""7,8%"",""21,3"",,109,21,""9,9%"",""4,3"",,893,85,""4,9%"",""35,3"",,2.055,49,""1,2%"",""81,3"",,2.309,34,""0,8%"",""91,3"",,691,54,""4,0%"",""27,3"",,446 ,""34,2"",""3,9%"",""17,6"",,1.863,40,""1,1%"",""73,7"",,99,16,""8,0%"",""3,9"",,1.766,47,""1,3%"",""69,9"",,2,2,""49,5%"",""0,1"""
